cell_id,sample_id,technology,x_centroid,y_centroid,predicted_celltype,max_celltype_score
aankjjnd-1,Br2039,Xenium,372.7260437011719,997.24365234375,Astrocyte,2.2514896392822266
aanknmbb-1,Br2039,Xenium,382.7076416015625,1077.37548828125,Astrocyte,6.0864152908325195
aanmnelp-1,Br2039,Xenium,421.39617919921875,1120.2325439453125,Oligodendrocyte,4.86560583114624
aaoajbdb-1,Br2039,Xenium,411.29925537109375,1072.588623046875,Astrocyte,4.502388000488281
aaobiihm-1,Br2039,Xenium,397.47430419921875,1191.31640625,Endothelial,4.104752540588379
aaobijan-1,Br2039,Xenium,413.1434631347656,1189.724853515625,Astrocyte,1.9396814107894897
aaocbfoo-1,Br2039,Xenium,407.5643310546875,1191.853515625,Astrocyte,2.014890670776367
aaochnnj-1,Br2039,Xenium,371.25775146484375,1187.30078125,Unknown,0.0
aaocikpd-1,Br2039,Xenium,405.9332580566406,1185.9068603515625,Astrocyte,2.281062126159668
aaoeoked-1,Br2039,Xenium,376.0494384765625,1193.3177490234375,Astrocyte,3.3881900310516357
aaofhlmo-1,Br2039,Xenium,346.4580078125,1180.7508544921875,Astrocyte,1.987210750579834
aaohpcop-1,Br2039,Xenium,366.6754455566406,1182.384765625,Astrocyte,1.8548388481140137
aaojnanh-1,Br2039,Xenium,362.9991760253906,1191.4300537109375,Endothelial,3.306743621826172
aaomfopi-1,Br2039,Xenium,334.94146728515625,1188.33837890625,Astrocyte,3.600046157836914
aaonollm-1,Br2039,Xenium,353.63165283203125,1190.4412841796875,Endothelial,4.746781826019287
aapakefn-1,Br2039,Xenium,357.0427551269531,1179.778564453125,Astrocyte,3.885186195373535
aapbanmd-1,Br2039,Xenium,423.5360412597656,1141.7255859375,Astrocyte,4.7490105628967285
aapbeecd-1,Br2039,Xenium,429.9462890625,1150.994140625,Astrocyte,5.413878917694092
aapbgedp-1,Br2039,Xenium,414.56353759765625,1147.696533203125,Astrocyte,4.666430950164795
aapbglhk-1,Br2039,Xenium,393.04931640625,1148.39892578125,Astrocyte,5.9667534828186035
aapcmoob-1,Br2039,Xenium,346.5179443359375,1106.39013671875,Astrocyte,2.5380592346191406
aaphmlap-1,Br2039,Xenium,346.1850280761719,1128.8399658203125,Endothelial,3.007638931274414
aapkkhpm-1,Br2039,Xenium,338.13543701171875,1119.01171875,Astrocyte,1.6338810920715332
aapmpppp-1,Br2039,Xenium,332.18145751953125,1101.01123046875,Astrocyte,1.8666434288024902
aapongea-1,Br2039,Xenium,350.6353454589844,1143.2205810546875,Astrocyte,2.3515548706054688
aappibpi-1,Br2039,Xenium,320.4405517578125,1113.35546875,Unknown,0.0
ababgbcf-1,Br2039,Xenium,308.6261291503906,1165.1505126953125,Endothelial,4.008218288421631
ababjlhd-1,Br2039,Xenium,321.4844665527344,1168.3238525390625,Endothelial,2.617997169494629
abadcnod-1,Br2039,Xenium,313.96728515625,1171.8709716796875,Endothelial,4.479499816894531
abadhfdf-1,Br2039,Xenium,322.4408874511719,1160.7637939453125,Unknown,0.0
abahabfc-1,Br2039,Xenium,314.5064697265625,1155.2894287109375,Astrocyte,2.014890670776367
abahbiim-1,Br2039,Xenium,267.5142822265625,1168.3375244140625,Astrocyte,1.6711680889129639
abahobpd-1,Br2039,Xenium,281.5682373046875,1172.4437255859375,Endothelial,4.315925598144531
abainpef-1,Br2039,Xenium,290.72186279296875,1168.1414794921875,Endothelial,4.686858177185059
abajfnpf-1,Br2039,Xenium,299.3314514160156,1171.0899658203125,Endothelial,4.234500885009766
abamichg-1,Br2039,Xenium,296.513916015625,1153.436279296875,Astrocyte,1.9859315156936646
abaojkhn-1,Br2039,Xenium,294.60992431640625,1161.10986328125,Unknown,0.0
abbddpdi-1,Br2039,Xenium,296.3982238769531,1114.7784423828125,Microglia,4.895357131958008
abbdkokb-1,Br2039,Xenium,303.0679626464844,1120.8695068359375,Microglia,4.607726097106934
abbgjjmb-1,Br2039,Xenium,278.1457214355469,1120.7786865234375,Excitatory_neuron,2.0176117420196533
abbhcifl-1,Br2039,Xenium,465.5513000488281,909.94775390625,Astrocyte,5.557930946350098
abbhnghm-1,Br2039,Xenium,488.89215087890625,922.834716796875,Astrocyte,5.328573226928711
abbihnmc-1,Br2039,Xenium,482.153076171875,915.6123046875,Astrocyte,5.613295555114746
